date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:51	307168/307168	---M-Z	200	added ('OK')	font/ttf	etag:W/%225f64732b-4afe0%22	https://technext.github.io/covid/fonts/icomoon/fonts/icomoon.ttf?10si43	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://technext.github.io/covid/fonts/icomoon/style.css)
05:27:52	307244/307244	---M--	200	added ('OK')	font/woff	etag:%225f64732b-4b02c%22	https://technext.github.io/covid/fonts/icomoon/fonts/icomoon.woff?10si43	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/icomoon/fonts/icomoon1a44.woff	(from https://technext.github.io/covid/fonts/icomoon/style.css)
05:27:53	935341/935341	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f64732b-e45ad%22	https://technext.github.io/covid/fonts/icomoon/fonts/icomoon.svg?10si43	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/icomoon/fonts/icomoon1a44.svg	(from https://technext.github.io/covid/fonts/icomoon/style.css)
05:27:53	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	https://technext.github.io/covid/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:54	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fd825-247b%22	https://technext.github.io/covid/css/images/ui-bg_glass_85_dfeffc_1x400.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:54	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fd825-247b%22	https://technext.github.io/covid/css/images/ui-bg_glass_75_d0e5f5_1x400.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:55	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fd825-247b%22	https://technext.github.io/covid/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:56	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ff31e-247b%22	https://technext.github.io/covid/css/images/ui-bg_glass_95_fef1ec_1x400.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:57	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	https://technext.github.io/covid/css/images/ui-icons_469bdd_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_469bdd_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:57	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	https://technext.github.io/covid/css/images/ui-icons_d8e7f3_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_d8e7f3_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:58	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ffe42-247b%22	https://technext.github.io/covid/css/images/ui-icons_6da8d5_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_6da8d5_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:58	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	https://technext.github.io/covid/css/images/ui-icons_217bc0_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_217bc0_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:27:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	https://technext.github.io/covid/css/images/ui-icons_f9bd01_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_f9bd01_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
